name,stars,age_in_years,releases,primary_language,url
apolloconfig/apollo,29392,9.06,41,Java,https://github.com/apolloconfig/apollo
alibaba/canal,28919,12.20,32,Java,https://github.com/alibaba/canal
wuyouzhuguli/SpringAll,28686,6.90,0,Java,https://github.com/wuyouzhuguli/SpringAll
xuxueli/xxl-job,28496,9.33,36,Java,https://github.com/xuxueli/xxl-job
alibaba/spring-cloud-alibaba,28323,7.32,47,Java,https://github.com/alibaba/spring-cloud-alibaba
alibaba/druid,28094,13.40,51,Java,https://github.com/alibaba/druid
lenve/vhr,27673,7.23,0,Java,https://github.com/lenve/vhr
crossoverJie/JCSprout,27112,7.28,0,Java,https://github.com/crossoverJie/JCSprout
qiurunze123/miaosha,26284,6.53,0,Java,https://github.com/qiurunze123/miaosha
keycloak/keycloak,26157,11.74,76,Java,https://github.com/keycloak/keycloak
DrKLO/Telegram,25932,11.42,95,Java,https://github.com/DrKLO/Telegram
alibaba/fastjson,25772,13.40,84,Java,https://github.com/alibaba/fastjson
apache/incubator-seata,25556,6.25,42,Java,https://github.com/apache/incubator-seata
JakeWharton/butterknife,25529,12.06,0,Java,https://github.com/JakeWharton/butterknife
hollischuang/toBeTopJavaer,25421,6.42,0,Java,https://github.com/hollischuang/toBeTopJavaer
scwang90/SmartRefreshLayout,25059,7.82,14,Java,https://github.com/scwang90/SmartRefreshLayout
proxyee-down-org/proxyee-down,24904,7.42,49,Java,https://github.com/proxyee-down-org/proxyee-down
greenrobot/EventBus,24742,12.70,7,Java,https://github.com/greenrobot/EventBus
apache/flink,24662,10.81,0,Java,https://github.com/apache/flink
Netflix/Hystrix,24279,12.35,79,Java,https://github.com/Netflix/Hystrix
apache/skywalking,24170,9.39,62,Java,https://github.com/apache/skywalking
libgdx/libgdx,23850,12.63,13,Java,https://github.com/libgdx/libgdx
bazelbuild/bazel,23814,10.79,191,Java,https://github.com/bazelbuild/bazel
jenkinsci/jenkins,23778,14.35,406,Java,https://github.com/jenkinsci/jenkins
redisson/redisson,23691,11.21,167,Java,https://github.com/redisson/redisson
google/gson,23634,10.03,9,Java,https://github.com/google/gson
Anuken/Mindustry,23506,7.91,160,Java,https://github.com/Anuken/Mindustry
OpenAPITools/openapi-generator,23205,6.88,70,Java,https://github.com/OpenAPITools/openapi-generator
alibaba/Sentinel,22635,6.98,25,Java,https://github.com/alibaba/Sentinel
doocs/source-code-hunter,22575,5.41,0,Java,https://github.com/doocs/source-code-hunter
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22276,12.34,0,Java,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
yuliskov/SmartTube,21949,4.66,720,Java,https://github.com/yuliskov/SmartTube
google/ExoPlayer,21807,10.79,28,Java,https://github.com/google/ExoPlayer
ashishps1/awesome-system-design-resources,21790,1.42,0,Java,https://github.com/ashishps1/awesome-system-design-resources
apache/rocketmq,21647,8.32,21,Java,https://github.com/apache/rocketmq
CodePhiliaX/Chat2DB,21645,1.77,43,Java,https://github.com/CodePhiliaX/Chat2DB
iBotPeaches/Apktool,21595,13.03,25,Java,https://github.com/iBotPeaches/Apktool
elunez/eladmin,21563,6.28,1,Java,https://github.com/elunez/eladmin
oracle/graal,20733,9.20,32,Java,https://github.com/oracle/graal
openjdk/jdk,20674,6.52,0,Java,https://github.com/openjdk/jdk
CarGuo/GSYVideoPlayer,20620,8.37,48,Java,https://github.com/CarGuo/GSYVideoPlayer
conductor-oss/conductor,20398,1.30,19,Java,https://github.com/conductor-oss/conductor
brettwooldridge/HikariCP,20331,11.47,0,Java,https://github.com/brettwooldridge/HikariCP
didi/DoKit,20290,6.62,10,Java,https://github.com/didi/DoKit
apache/shardingsphere,20132,9.19,58,Java,https://github.com/apache/shardingsphere
mybatis/mybatis-3,20014,12.12,46,Java,https://github.com/mybatis/mybatis-3
ReactiveX/RxAndroid,19865,10.61,20,Java,https://github.com/ReactiveX/RxAndroid
dataease/dataease,19701,4.14,91,Java,https://github.com/dataease/dataease
linlinjava/litemall,19559,7.01,8,Java,https://github.com/linlinjava/litemall
LSPosed/LSPosed,19549,4.29,39,Java,https://github.com/LSPosed/LSPosed
yudaocode/SpringBoot-Labs,19481,6.54,0,Java,https://github.com/yudaocode/SpringBoot-Labs
Baseflow/PhotoView,18835,12.70,5,Java,https://github.com/Baseflow/PhotoView
dianping/cat,18819,12.31,3,Java,https://github.com/dianping/cat
kunal-kushwaha/DSA-Bootcamp-Java,18638,3.66,0,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
thingsboard/thingsboard,18501,8.32,65,Java,https://github.com/thingsboard/thingsboard
forezp/SpringCloudLearning,17922,7.97,0,Java,https://github.com/forezp/SpringCloudLearning
williamfiset/Algorithms,17775,8.03,0,Java,https://github.com/williamfiset/Algorithms
JetBrains/intellij-community,17768,13.49,0,Java,https://github.com/JetBrains/intellij-community
antlr/antlr4,17731,15.15,31,Java,https://github.com/antlr/antlr4
LMAX-Exchange/disruptor,17690,12.52,14,Java,https://github.com/LMAX-Exchange/disruptor
Tencent/APIJSON,17611,8.35,107,Java,https://github.com/Tencent/APIJSON
Tencent/tinker,17260,8.56,59,Java,https://github.com/Tencent/tinker
dromara/Sa-Token,17246,5.14,35,Java,https://github.com/dromara/Sa-Token
openzipkin/zipkin,17150,12.81,96,Java,https://github.com/openzipkin/zipkin
facebook/fresco,17100,10.07,55,Java,https://github.com/facebook/fresco
YunaiV/yudao-cloud,16945,5.90,20,Java,https://github.com/YunaiV/yudao-cloud
infinilabs/analysis-ik,16882,13.28,1,Java,https://github.com/infinilabs/analysis-ik
justauth/JustAuth,16832,6.15,46,Java,https://github.com/justauth/JustAuth
nostra13/Android-Universal-Image-Loader,16776,13.33,0,Java,https://github.com/nostra13/Android-Universal-Image-Loader
winterbe/java8-tutorial,16771,11.03,0,Java,https://github.com/winterbe/java8-tutorial
baomidou/mybatis-plus,16738,8.61,35,Java,https://github.com/baomidou/mybatis-plus
shuzheng/zheng,16713,8.48,0,Java,https://github.com/shuzheng/zheng
material-components/material-components-android,16628,8.31,103,Java,https://github.com/material-components/material-components-android
kestra-io/kestra,16579,5.59,206,Java,https://github.com/kestra-io/kestra
Grasscutters/Grasscutter,16473,2.94,20,Java,https://github.com/Grasscutters/Grasscutter
JeffLi1993/springboot-learning-example,16452,8.14,0,Java,https://github.com/JeffLi1993/springboot-learning-example
ben-manes/caffeine,16430,10.29,69,Java,https://github.com/ben-manes/caffeine
alibaba/DataX,16317,7.19,7,Java,https://github.com/alibaba/DataX
xiaojieonly/Ehviewer_CN_SXJ,16298,4.38,99,Java,https://github.com/xiaojieonly/Ehviewer_CN_SXJ
heibaiying/BigData-Notes,16284,6.05,0,Java,https://github.com/heibaiying/BigData-Notes
prestodb/presto,16282,12.64,0,Java,https://github.com/prestodb/presto
dyc87112/SpringBoot-Learning,15770,8.60,0,Java,https://github.com/dyc87112/SpringBoot-Learning
android-hacker/VirtualXposed,15633,7.32,50,Java,https://github.com/android-hacker/VirtualXposed
gyoogle/tech-interview-for-developer,15566,5.80,0,Java,https://github.com/gyoogle/tech-interview-for-developer
android10/Android-CleanArchitecture,15535,10.61,0,Java,https://github.com/android10/Android-CleanArchitecture
mockito/mockito,15096,12.46,219,Java,https://github.com/mockito/mockito
questdb/questdb,15012,10.92,85,Java,https://github.com/questdb/questdb
apache/hadoop,15002,10.58,0,Java,https://github.com/apache/hadoop
Konloch/bytecode-viewer,14918,10.45,60,Java,https://github.com/Konloch/bytecode-viewer
zhisheng17/flink-learning,14702,6.23,0,Java,https://github.com/zhisheng17/flink-learning
