name,stars,age_in_years,releases,primary_language,url
Tencent/APIJSON,17529,8.32,107,Java,https://github.com/Tencent/APIJSON
Tencent/tinker,17255,8.53,59,Java,https://github.com/Tencent/tinker
dromara/Sa-Token,17203,5.12,34,Java,https://github.com/dromara/Sa-Token
openzipkin/zipkin,17143,12.78,96,Java,https://github.com/openzipkin/zipkin
facebook/fresco,17099,10.05,55,Java,https://github.com/facebook/fresco
YunaiV/yudao-cloud,16893,5.88,20,Java,https://github.com/YunaiV/yudao-cloud
infinilabs/analysis-ik,16863,13.26,1,Java,https://github.com/infinilabs/analysis-ik
justauth/JustAuth,16797,6.13,46,Java,https://github.com/justauth/JustAuth
nostra13/Android-Universal-Image-Loader,16776,13.31,0,Java,https://github.com/nostra13/Android-Universal-Image-Loader
winterbe/java8-tutorial,16771,11.01,0,Java,https://github.com/winterbe/java8-tutorial
shuzheng/zheng,16711,8.45,0,Java,https://github.com/shuzheng/zheng
baomidou/mybatis-plus,16711,8.58,34,Java,https://github.com/baomidou/mybatis-plus
material-components/material-components-android,16615,8.28,102,Java,https://github.com/material-components/material-components-android
kestra-io/kestra,16479,5.57,202,Java,https://github.com/kestra-io/kestra
Grasscutters/Grasscutter,16474,2.92,20,Java,https://github.com/Grasscutters/Grasscutter
JeffLi1993/springboot-learning-example,16441,8.11,0,Java,https://github.com/JeffLi1993/springboot-learning-example
ben-manes/caffeine,16379,10.27,69,Java,https://github.com/ben-manes/caffeine
alibaba/DataX,16290,7.16,7,Java,https://github.com/alibaba/DataX
heibaiying/BigData-Notes,16256,6.02,0,Java,https://github.com/heibaiying/BigData-Notes
prestodb/presto,16252,12.61,0,Java,https://github.com/prestodb/presto
xiaojieonly/Ehviewer_CN_SXJ,16195,4.35,99,Java,https://github.com/xiaojieonly/Ehviewer_CN_SXJ
dyc87112/SpringBoot-Learning,15769,8.58,0,Java,https://github.com/dyc87112/SpringBoot-Learning
android-hacker/VirtualXposed,15622,7.30,50,Java,https://github.com/android-hacker/VirtualXposed
android10/Android-CleanArchitecture,15532,10.58,0,Java,https://github.com/android10/Android-CleanArchitecture
gyoogle/tech-interview-for-developer,15449,5.78,0,Java,https://github.com/gyoogle/tech-interview-for-developer
mockito/mockito,15062,12.43,219,Java,https://github.com/mockito/mockito
questdb/questdb,14980,10.89,84,Java,https://github.com/questdb/questdb
apache/hadoop,14980,10.56,0,Java,https://github.com/apache/hadoop
Konloch/bytecode-viewer,14898,10.43,60,Java,https://github.com/Konloch/bytecode-viewer
zhisheng17/flink-learning,14691,6.21,0,Java,https://github.com/zhisheng17/flink-learning
hdodenhof/CircleImageView,14542,11.17,0,Java,https://github.com/hdodenhof/CircleImageView
apache/pulsar,14495,8.72,102,Java,https://github.com/apache/pulsar
alibaba/ARouter,14474,8.26,16,Java,https://github.com/alibaba/ARouter
Tencent/QMUI_Android,14473,7.91,35,Java,https://github.com/Tencent/QMUI_Android
